feature,n,missing,unique,is_constant,mean,std,skew,kurtosis_excess,min,p01,p05,q25,median,q75,p95,p99,max,shapiro_W,shapiro_p,k2_stat,k2_p,jb_stat,jb_p,adf_stat,adf_p,adf_lags,adf_nobs,kpss_stat,kpss_p,kpss_lags,arch_lm_stat,arch_lm_p,arch_lags
depth_all,353,0,352,False,264198281.58640227,3341080.7490846873,-1.6354702432199593,2.792430346408736,252154000.0,252385732.0,257514500.0,263579300.0,265008300.0,266226600.0,267895240.0,268574152.0,268931700.0,0.8415417671203613,2.212361343107536e-18,114.26711101557754,1.5389060657012694e-25,266.13804899141843,1.6175471517059518e-58,-2.2093665236058193,0.2028635299401234,11,341,0.9649464944309091,0.01,10,207.92407920274374,7.520411844679758e-38,12
depth_imbalance_all,353,0,353,False,0.19715351511826404,0.0040965021278633815,0.8567408422479441,2.7891725447463527,0.185333477038841,0.1890169909505569,0.1914805319437078,0.1945851543561182,0.19666252353401492,0.19951250429468495,0.2034504766684408,0.2089688062167895,0.21815654123019912,0.9609695076942444,4.3313331588024084e-08,61.87740750827884,3.6600893064215834e-14,152.6678860668111,7.056506707348171e-34,-4.4844868670012294,0.0002097288560941275,5,347,0.9884748324173629,0.01,9,5.360444890100186,0.9448442835862993,12
depth_imbalance_top_15,353,0,353,False,-0.08157704736613039,0.25634363041287217,0.15575323923565945,-0.497097839966234,-0.7887838543176942,-0.5783228818745775,-0.4779464540040335,-0.2739387016942699,-0.0913307564881281,0.11087232587672169,0.34370431605338275,0.526794341469907,0.5843278540869173,0.9910149574279785,0.030176525935530663,7.574526274092711,0.022657527619259682,5.196390711975235,0.07440773660019057,-4.531897039010132,0.00017212756209226686,4,348,2.3616919219913735,0.01,9,12.899143905045438,0.37641379964295457,12
depth_imbalance_top_5,353,0,353,False,-0.08482789612899064,0.4815882745284458,0.33061283958289867,-0.8391332864493979,-0.9668458781362007,-0.9247803393586593,-0.7669434308496993,-0.4684873949579832,-0.17295700689202495,0.2782564622402433,0.789672855320706,0.924343671085997,0.9702380952380952,0.9674561023712158,4.2658135157580546e-07,38.74794698063455,3.854696776137375e-09,16.85949574621422,0.0002182765168332333,-7.217166967821512,2.1580591859671123e-10,2,350,1.5553876893141407,0.01,8,11.036125769253635,0.5258252640332228,12
depth_imbalance_top_50,353,0,353,False,0.007966038825710264,0.05708430357981284,-0.4640042699840436,1.6169657804056605,-0.22906009999855909,-0.1591594545516207,-0.08354354044423577,-0.024266094695393283,0.0075086183827349,0.044366562416508194,0.09063173672539823,0.1318566357852388,0.19051031216898248,0.9779154658317566,3.092632323387079e-05,27.05391786368323,1.3344932424563713e-06,49.14731507875658,2.1271402746134832e-11,-6.251645318139891,4.43917981342978e-08,2,350,0.3022889698640373,0.1,9,39.93093615311019,7.383164356088467e-05,12
depth_top_15,353,0,344,False,1042386.685552408,261433.58060230143,1.8857305324917017,6.690405372249687,509100.0,588532.0,717860.0,875200.0,1009700.0,1152600.0,1393920.0,2184152.0000000014,2337700.0,0.8635061979293823,4.613636593333709e-17,160.20126907755724,1.6320611350018187e-35,844.0710071148898,5.155961167126769e-184,-7.78351632211246,8.295841661082296e-12,2,350,0.6939790457042556,0.014092814026885852,8,42.99181411643963,2.2651973693262798e-05,12
depth_top_5,353,0,339,False,315686.40226628893,190582.2677493514,4.067089001234908,22.15223642562532,91900.0,102728.0,127920.0,226200.0,290100.0,352900.0,543640.0,1455424.0000000002,1573900.0,0.6335538029670715,8.669035154646692e-27,332.309917399652,6.915415767348911e-73,7969.502280234055,0.0,-7.045786926246289,5.691708409347547e-10,4,348,0.14362909542487415,0.1,7,96.46761390816334,2.7310112027513267e-15,12
depth_top_50,353,0,347,False,6082731.444759207,424156.3243696082,-0.10383433074455616,1.6585088856889065,4700300.0,4938144.0,5345620.0,5867100.0,6145100.0,6306100.0,6626840.0,7316916.0,7725300.0,0.9622056484222412,6.579489308933262e-08,16.230002230297867,0.00029901969560663374,39.14189621106747,3.165521241876133e-09,-8.01699911729736,2.1256775591921844e-12,2,350,0.06210448217981287,0.1,8,32.31386987572392,0.0012375084136686774,12
liquidity_concentration_top_15,353,0,353,False,0.003945094857934468,0.00098762376864538,1.9218727948161465,6.9405586057767685,0.0019216592627486861,0.0022241422286376333,0.002711489138104422,0.0033010708525449237,0.003819985908832951,0.004354840346958548,0.005266683960109356,0.008218168991947909,0.008798931051726857,0.85930335521698,2.513294819833156e-17,163.9841056115719,2.4620898996938594e-36,900.7234291444724,2.572719870347852e-196,-7.756589887779407,9.700926938097708e-12,2,350,0.5866337367912918,0.02385147847351892,8,37.4447501280426,0.00018916857631339629,12
liquidity_concentration_top_5,353,0,353,False,0.0011945309716678996,0.0007157490051250427,4.007063561068982,21.658382531664333,0.0003459367489097722,0.000391230699917543,0.000482609823304821,0.0008583961111319644,0.001093170447908422,0.00133213806229482,0.0020777859175767814,0.00543849492931401,0.005878942858572932,0.6401547193527222,1.3746369659638606e-26,328.47193083534546,4.712230099878192e-72,7632.1591275035325,0.0,-6.173982479368693,6.69948439811128e-08,5,347,0.1303915446445104,0.1,7,96.2853048389916,2.964110030644662e-15,12
